NS 10000
ROOT 6216
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 6872
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8757
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 4351
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 7387
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 7946
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 7280
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1027
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 7947
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1761
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 4651
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 7646
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1621
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 2179
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 6139
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 4270
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 5321
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 3843
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1327
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 5424
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 4357
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 7284
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 4214
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 7680
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8438
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8651
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8651
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 5428
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1621
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 6572
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 7646
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 5025
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 6579
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1084
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1084
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1681
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 3240
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 5024
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 4057
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 2751
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 6872
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1984
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1328
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8357
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 3949
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 2139
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 7387
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 2835
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 5721
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1624
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 2732
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 3280
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1640
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 5161
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 6176
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8058
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 7287
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 6836
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 5762
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 6572
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8357
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1080
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 2138
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 3169
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8358
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 7284
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 6276
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1761
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 7383
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 4957
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 7983
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1628
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 5428
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1380
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 7387
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 3949
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 3949
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1680
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 3983
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 6139
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 5024
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 5024
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 4951
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 7684
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8358
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 6176
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 6216
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 4654
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8358
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 5325
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8438
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 6573
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1387
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 3240
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 5084
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 5025
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 7983
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 4350
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 7284
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 5062
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 4270
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 6216
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 5468
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 7240
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8358
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 7247
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8651
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 5721
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 7247
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8358
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 5161
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1724
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 3246
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 7284
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 7327
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 4951
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1027
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1761
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 5721
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 4914
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8317
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 6432
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 3943
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 2432
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 4613
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8754
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1327
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 3846
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1387
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8357
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 2872
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1621
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 7946
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8357
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 6173
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8614
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 6432
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 4357
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 2179
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 7624
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 6176
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 5168
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 2735
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 2135
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8057
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 7246
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8658
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8358
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 6216
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8651
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 5161
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1681
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1068
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1684
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 4613
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 4654
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 6276
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 5421
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 4973
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 4954
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 7327
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 6436
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 7246
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 7987
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 5468
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 4214
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 7387
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 5461
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 6539
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 2058
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 5065
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 2838
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 2135
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 3543
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 4054
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 4357
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 5421
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8658
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 2138
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8058
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1628
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 6876
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1684
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1947
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 4651
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 7280
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8658
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8054
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1681
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8057
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 7246
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 4613
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1981
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8351
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1380
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 4214
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1028
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8357
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 2135
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8317
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8757
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8651
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8317
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 6279
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 3840
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 5321
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 7240
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8351
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8754
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 5028
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 8054
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 2179
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 6513
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
PHF -2,+8,-4,+8
ROOT 1321
UHF -9,+8,-5,+7
LHF -7,+9,-3,+0
