NS10 VALID
CN0 8210, LN0 5153, HN0 9737
CN8 4836, LN8 1779, HN8 5353
CN9 7129, LN9 4062, HN9 8646
CN10 0412, LN10 7355, HN10 1939
CN11 3705, LN11 0648, HN11 4222
CN12 6098, LN12 3931, HN12 7515
CN13 9381, LN13 6224, HN13 0808
CN14 2674, LN14 9517, HN14 3191
CN15 5967, LN15 2800, HN15 6484
CN16 8250, LN16 5193, HN16 9777
CN17 1543, LN17 8486, HN17 2060
CN18 4836, LN18 1779, HN18 5353
CN19 7129, LN19 4062, HN19 8646

CN0 3785, LN0 0628, HN0 4202
CN1 6078, LN1 3911, HN1 7595
CN2 9361, LN2 6204, HN2 0888
CN3 2654, LN3 9597, HN3 3171
CN4 5947, LN4 2880, HN4 6464
CN5 8230, LN5 5173, HN5 9757
CN6 1523, LN6 8466, HN6 2040
CN7 4816, LN7 1759, HN7 5333
CN8 7109, LN8 4042, HN8 8626
CN9 0492, LN9 7335, HN9 1919
CN10 3785, LN10 0628, HN10 4202
CN11 6078, LN11 3911, HN11 7595
CN12 9361, LN12 6204, HN12 0888
CN13 2654, LN13 9597, HN13 3171
CN14 5947, LN14 2880, HN14 6464
CN15 8230, LN15 5173, HN15 9757
CN16 1523, LN16 8466, HN16 2040
CN17 4816, LN17 1759, HN17 5333
CN18 7109, LN18 4042, HN18 8626
CN19 0492, LN19 7335, HN19 1919

CN0 4690, LN0 1533, HN0 5117
CN1 7983, LN1 4826, HN1 8400
CN2 0276, LN2 7119, HN2 1793
CN3 3569, LN3 0402, HN3 4086
CN4 6852, LN4 3795, HN4 7379
CN5 9145, LN5 6088, HN5 0662
CN6 2438, LN6 9371, HN6 3955
CN7 5721, LN7 2664, HN7 6248
CN8 8014, LN8 5957, HN8 9531
CN9 1307, LN9 8240, HN9 2824
CN10 4690, LN10 1533, HN10 5117
CN11 7983, LN11 4826, HN11 8400
CN12 0276, LN12 7119, HN12 1793
CN13 3569, LN13 0402, HN13 4086
CN14 6852, LN14 3795, HN14 7379
CN15 9145, LN15 6088, HN15 0662
CN16 2438, LN16 9371, HN16 3955
CN17 5721, LN17 2664, HN17 6248
CN18 8014, LN18 5957, HN18 9531
CN19 1307, LN19 8240, HN19 2824

CN0 3529, LN0 0462, HN0 4046
CN1 6812, LN1 3755, HN1 7339
CN2 9105, LN2 6048, HN2 0622
CN3 2498, LN3 9331, HN3 3915
CN4 5781, LN4 2624, HN4 6208
CN5 8074, LN5 5917, HN5 9591
CN6 1367, LN6 8200, HN6 2884
CN7 4650, LN7 1593, HN7 5177
CN8 7943, LN8 4886, HN8 8460
CN9 0236, LN9 7179, HN9 1753
CN10 3529, LN10 0462, HN10 4046
CN11 6812, LN11 3755, HN11 7339
CN12 9105, LN12 6048, HN12 0622
CN13 2498, LN13 9331, HN13 3915
CN14 5781, LN14 2624, HN14 6208
CN15 8074, LN15 5917, HN15 9591
CN16 1367, LN16 8200, HN16 2884
CN17 4650, LN17 1593, HN17 5177
CN18 7943, LN18 4886, HN18 8460
CN19 0236, LN19 7179, HN19 1753

CN0 5981, LN0 2824, HN0 6408
CN1 8274, LN1 5117, HN1 9791
CN2 1567, LN2 8400, HN2 2084
CN3 4850, LN3 1793, HN3 5377
CN4 7143, LN4 4086, HN4 8660
CN5 0436, LN5 7379, HN5 1953
CN6 3729, LN6 0662, HN6 4246
CN7 6012, LN7 3955, HN7 7539
CN8 9305, LN8 6248, HN8 0822
CN9 2698, LN9 9531, HN9 3115
CN10 5981, LN10 2824, HN10 6408
CN11 8274, LN11 5117, HN11 9791
CN12 1567, LN12 8400, HN12 2084
CN13 4850, LN13 1793, HN13 5377
CN14 7143, LN14 4086, HN14 8660
CN15 0436, LN15 7379, HN15 1953
CN16 3729, LN16 0662, HN16 4246
CN17 6012, LN17 3955, HN17 7539
CN18 9305, LN18 6248, HN18 0822
CN19 2698, LN19 9531, HN19 3115

CN0 6812, LN0 3755, HN0 7339
CN1 9105, LN1 6048, HN1 0622
CN2 2498, LN2 9331, HN2 3915
CN3 5781, LN3 2624, HN3 6208
CN4 8074, LN4 5917, HN4 9591
CN5 1367, LN5 8200, HN5 2884
CN6 4650, LN6 1593, HN6 5177
CN7 7943, LN7 4886, HN7 8460
CN8 0236, LN8 7179, HN8 1753
CN9 3529, LN9 0462, HN9 4046
CN10 6812, LN10 3755, HN10 7339
CN11 9105, LN11 6048, HN11 0622
CN12 2498, LN12 9331, HN12 3915
CN13 5781, LN13 2624, HN13 6208
CN14 8074, LN14 5917, HN14 9591
CN15 1367, LN15 8200, HN15 2884
CN16 4650, LN16 1593, HN16 5177
CN17 7943, LN17 4886, HN17 8460
CN18 0236, LN18 7179, HN18 1753
CN19 3529, LN19 0462, HN19 4046

CN0 3581, LN0 0424, HN0 4008
CN1 6874, LN1 3717, HN1 7391
CN2 9167, LN2 6000, HN2 0684
CN3 2450, LN3 9393, HN3 3977
CN4 5743, LN4 2686, HN4 6260
CN5 8036, LN5 5979, HN5 9553
CN6 1329, LN6 8262, HN6 2846
CN7 4612, LN7 1555, HN7 5139
CN8 7905, LN8 4848, HN8 8422
CN9 0298, LN9 7131, HN9 1715
CN10 3581, LN10 0424, HN10 4008
CN11 6874, LN11 3717, HN11 7391
CN12 9167, LN12 6000, HN12 0684
CN13 2450, LN13 9393, HN13 3977
CN14 5743, LN14 2686, HN14 6260
CN15 8036, LN15 5979, HN15 9553
CN16 1329, LN16 8262, HN16 2846
CN17 4612, LN17 1555, HN17 5139
CN18 7905, LN18 4848, HN18 8422
CN19 0298, LN19 7131, HN19 1715

