NS100 VALID
CN0 4583, LN0 5237, HN0 7143
CN1 4381, LN1 5035, HN1 7941
CN2 4396, LN2 5040, HN2 7956
CN3 4301, LN3 5055, HN3 7961
CN4 4316, LN4 5060, HN4 7976

CN0 4370, LN0 5024, HN0 7930
CN1 4385, LN1 5039, HN1 7945
CN2 4390, LN2 5044, HN2 7950
CN3 4305, LN3 5059, HN3 7965
CN4 4310, LN4 5064, HN4 7970

CN0 1230, LN0 2984, HN0 4890
CN1 1245, LN1 2999, HN1 4805
CN2 1250, LN2 2904, HN2 4810
CN3 1265, LN3 2919, HN3 4825
CN4 1270, LN4 2924, HN4 4830

CN0 3781, LN0 4435, HN0 6341
CN1 3796, LN1 4440, HN1 6356
CN2 3701, LN2 4455, HN2 6361
CN3 3716, LN3 4460, HN3 6376
CN4 3721, LN4 4475, HN4 6381

CN0 8607, LN0 9351, HN0 1267
CN1 8612, LN1 9366, HN1 1272
CN2 8627, LN2 9371, HN2 1287
CN3 8632, LN3 9386, HN3 1292
CN4 8647, LN4 9391, HN4 1207

CN0 5609, LN0 6353, HN0 8269
CN1 5614, LN1 6368, HN1 8274
CN2 5629, LN2 6373, HN2 8289
CN3 5634, LN3 6388, HN3 8294
CN4 5649, LN4 6393, HN4 8209

CN0 0827, LN0 1571, HN0 3487
CN1 0832, LN1 1586, HN1 3492
CN2 0847, LN2 1591, HN2 3407
CN3 0852, LN3 1506, HN3 3412
CN4 0867, LN4 1511, HN4 3427

CN0 3165, LN0 4819, HN0 6725
CN1 3170, LN1 4824, HN1 6730
CN2 3185, LN2 4839, HN2 6745
CN3 3190, LN3 4844, HN3 6750
CN4 3105, LN4 4859, HN4 6765

CN0 9703, LN0 0457, HN0 2363
CN1 9718, LN1 0462, HN1 2378
CN2 9723, LN2 0477, HN2 2383
CN3 9738, LN3 0482, HN3 2398
CN4 9743, LN4 0497, HN4 2303

CN0 9723, LN0 0477, HN0 2383
CN1 9738, LN1 0482, HN1 2398
CN2 9743, LN2 0497, HN2 2303
CN3 9758, LN3 0402, HN3 2318
CN4 9763, LN4 0417, HN4 2323

CN0 8509, LN0 9253, HN0 1169
CN1 8514, LN1 9268, HN1 1174
CN2 8529, LN2 9273, HN2 1189
CN3 8534, LN3 9288, HN3 1194
CN4 8549, LN4 9293, HN4 1109

CN0 0827, LN0 1571, HN0 3487
CN1 0832, LN1 1586, HN1 3492
CN2 0847, LN2 1591, HN2 3407
CN3 0852, LN3 1506, HN3 3412
CN4 0867, LN4 1511, HN4 3427

CN0 8610, LN0 9364, HN0 1270
CN1 8625, LN1 9379, HN1 1285
CN2 8630, LN2 9384, HN2 1290
CN3 8645, LN3 9399, HN3 1205
CN4 8650, LN4 9304, HN4 1210

CN0 4578, LN0 5222, HN0 7138
CN1 4583, LN1 5237, HN1 7143
CN2 4598, LN2 5242, HN2 7158
CN3 4503, LN3 5257, HN3 7163
CN4 4518, LN4 5262, HN4 7178

CN0 1825, LN0 2579, HN0 4485
CN1 1830, LN1 2584, HN1 4490
CN2 1845, LN2 2599, HN2 4405
CN3 1850, LN3 2504, HN3 4410
CN4 1865, LN4 2519, HN4 4425

CN0 9703, LN0 0457, HN0 2363
CN1 9718, LN1 0462, HN1 2378
CN2 9723, LN2 0477, HN2 2383
CN3 9738, LN3 0482, HN3 2398
CN4 9743, LN4 0497, HN4 2303

CN0 9718, LN0 0462, HN0 2378
CN1 9723, LN1 0477, HN1 2383
CN2 9738, LN2 0482, HN2 2398
CN3 9743, LN3 0497, HN3 2303
CN4 9758, LN4 0402, HN4 2318

CN0 4372, LN0 5026, HN0 7932
CN1 4387, LN1 5031, HN1 7947
CN2 4392, LN2 5046, HN2 7952
CN3 4307, LN3 5051, HN3 7967
CN4 4312, LN4 5066, HN4 7972

CN0 4785, LN0 5439, HN0 7345
CN1 4790, LN1 5444, HN1 7350
CN2 4705, LN2 5459, HN2 7365
CN3 4710, LN3 5464, HN3 7370
CN4 4725, LN4 5479, HN4 7385

CN0 5169, LN0 6813, HN0 8729
CN1 5174, LN1 6828, HN1 8734
CN2 5189, LN2 6833, HN2 8749
CN3 5194, LN3 6848, HN3 8754
CN4 5109, LN4 6853, HN4 8769

CN0 0923, LN0 1677, HN0 3583
CN1 0938, LN1 1682, HN1 3598
CN2 0943, LN2 1697, HN2 3503
CN3 0958, LN3 1602, HN3 3518
CN4 0963, LN4 1617, HN4 3523

CN0 8721, LN0 9475, HN0 1381
CN1 8736, LN1 9480, HN1 1396
CN2 8741, LN2 9495, HN2 1301
CN3 8756, LN3 9400, HN3 1316
CN4 8761, LN4 9415, HN4 1321

CN0 4561, LN0 5215, HN0 7121
CN1 4576, LN1 5220, HN1 7136
CN2 4581, LN2 5235, HN2 7141
CN3 4596, LN3 5240, HN3 7156
CN4 4501, LN4 5255, HN4 7161

CN0 4781, LN0 5435, HN0 7341
CN1 4796, LN1 5440, HN1 7356
CN2 4701, LN2 5455, HN2 7361
CN3 4716, LN3 5460, HN3 7376
CN4 4721, LN4 5475, HN4 7381

CN0 2038, LN0 3782, HN0 5698
CN1 2043, LN1 3797, HN1 5603
CN2 2058, LN2 3702, HN2 5618
CN3 2063, LN3 3717, HN3 5623
CN4 2078, LN4 3722, HN4 5638

CN0 9138, LN0 0882, HN0 2798
CN1 9143, LN1 0897, HN1 2703
CN2 9158, LN2 0802, HN2 2718
CN3 9163, LN3 0817, HN3 2723
CN4 9178, LN4 0822, HN4 2738

CN0 9821, LN0 0575, HN0 2481
CN1 9836, LN1 0580, HN1 2496
CN2 9841, LN2 0595, HN2 2401
CN3 9856, LN3 0500, HN3 2416
CN4 9861, LN4 0515, HN4 2421

CN0 8690, LN0 9344, HN0 1250
CN1 8605, LN1 9359, HN1 1265
CN2 8610, LN2 9364, HN2 1270
CN3 8625, LN3 9379, HN3 1285
CN4 8630, LN4 9384, HN4 1290

CN0 2163, LN0 3817, HN0 5723
CN1 2178, LN1 3822, HN1 5738
CN2 2183, LN2 3837, HN2 5743
CN3 2198, LN3 3842, HN3 5758
CN4 2103, LN4 3857, HN4 5763

CN0 9832, LN0 0586, HN0 2492
CN1 9847, LN1 0591, HN1 2407
CN2 9852, LN2 0506, HN2 2412
CN3 9867, LN3 0511, HN3 2427
CN4 9872, LN4 0526, HN4 2432

CN0 4781, LN0 5435, HN0 7341
CN1 4796, LN1 5440, HN1 7356
CN2 4701, LN2 5455, HN2 7361
CN3 4716, LN3 5460, HN3 7376
CN4 4721, LN4 5475, HN4 7381

CN0 5167, LN0 6811, HN0 8727
CN1 5172, LN1 6826, HN1 8732
CN2 5187, LN2 6831, HN2 8747
CN3 5192, LN3 6846, HN3 8752
CN4 5107, LN4 6851, HN4 8767

CN0 8605, LN0 9359, HN0 1265
CN1 8610, LN1 9364, HN1 1270
CN2 8625, LN2 9379, HN2 1285
CN3 8630, LN3 9384, HN3 1290
CN4 8645, LN4 9399, HN4 1205

CN0 9027, LN0 0771, HN0 2687
CN1 9032, LN1 0786, HN1 2692
CN2 9047, LN2 0791, HN2 2607
CN3 9052, LN3 0706, HN3 2612
CN4 9067, LN4 0711, HN4 2627

CN0 9718, LN0 0462, HN0 2378
CN1 9723, LN1 0477, HN1 2383
CN2 9738, LN2 0482, HN2 2398
CN3 9743, LN3 0497, HN3 2303
CN4 9758, LN4 0402, HN4 2318

CN0 2461, LN0 3115, HN0 5021
CN1 2476, LN1 3120, HN1 5036
CN2 2481, LN2 3135, HN2 5041
CN3 2496, LN3 3140, HN3 5056
CN4 2401, LN4 3155, HN4 5061

CN0 8796, LN0 9440, HN0 1356
CN1 8701, LN1 9455, HN1 1361
CN2 8716, LN2 9460, HN2 1376
CN3 8721, LN3 9475, HN3 1381
CN4 8736, LN4 9480, HN4 1396

CN0 1925, LN0 2679, HN0 4585
CN1 1930, LN1 2684, HN1 4590
CN2 1945, LN2 2699, HN2 4505
CN3 1950, LN3 2604, HN3 4510
CN4 1965, LN4 2619, HN4 4525

CN0 4278, LN0 5922, HN0 7838
CN1 4283, LN1 5937, HN1 7843
CN2 4298, LN2 5942, HN2 7858
CN3 4203, LN3 5957, HN3 7863
CN4 4218, LN4 5962, HN4 7878

CN0 4790, LN0 5444, HN0 7350
CN1 4705, LN1 5459, HN1 7365
CN2 4710, LN2 5464, HN2 7370
CN3 4725, LN3 5479, HN3 7385
CN4 4730, LN4 5484, HN4 7390

CN0 8596, LN0 9240, HN0 1156
CN1 8501, LN1 9255, HN1 1161
CN2 8516, LN2 9260, HN2 1176
CN3 8521, LN3 9275, HN3 1181
CN4 8536, LN4 9280, HN4 1196

CN0 5372, LN0 6026, HN0 8932
CN1 5387, LN1 6031, HN1 8947
CN2 5392, LN2 6046, HN2 8952
CN3 5307, LN3 6051, HN3 8967
CN4 5312, LN4 6066, HN4 8972

CN0 0729, LN0 1473, HN0 3389
CN1 0734, LN1 1488, HN1 3394
CN2 0749, LN2 1493, HN2 3309
CN3 0754, LN3 1408, HN3 3314
CN4 0769, LN4 1413, HN4 3329

CN0 5609, LN0 6353, HN0 8269
CN1 5614, LN1 6368, HN1 8274
CN2 5629, LN2 6373, HN2 8289
CN3 5634, LN3 6388, HN3 8294
CN4 5649, LN4 6393, HN4 8209

CN0 3781, LN0 4435, HN0 6341
CN1 3796, LN1 4440, HN1 6356
CN2 3701, LN2 4455, HN2 6361
CN3 3716, LN3 4460, HN3 6376
CN4 3721, LN4 4475, HN4 6381

CN0 5376, LN0 6020, HN0 8936
CN1 5381, LN1 6035, HN1 8941
CN2 5396, LN2 6040, HN2 8956
CN3 5301, LN3 6055, HN3 8961
CN4 5316, LN4 6060, HN4 8976

CN0 9125, LN0 0879, HN0 2785
CN1 9130, LN1 0884, HN1 2790
CN2 9145, LN2 0899, HN2 2705
CN3 9150, LN3 0804, HN3 2710
CN4 9165, LN4 0819, HN4 2725

CN0 9036, LN0 0780, HN0 2696
CN1 9041, LN1 0795, HN1 2601
CN2 9056, LN2 0700, HN2 2616
CN3 9061, LN3 0715, HN3 2621
CN4 9076, LN4 0720, HN4 2636

CN0 2465, LN0 3119, HN0 5025
CN1 2470, LN1 3124, HN1 5030
CN2 2485, LN2 3139, HN2 5045
CN3 2490, LN3 3144, HN3 5050
CN4 2405, LN4 3159, HN4 5065

CN0 3467, LN0 4111, HN0 6027
CN1 3472, LN1 4126, HN1 6032
CN2 3487, LN2 4131, HN2 6047
CN3 3492, LN3 4146, HN3 6052
CN4 3407, LN4 4151, HN4 6067

CN0 8930, LN0 9684, HN0 1590
CN1 8945, LN1 9699, HN1 1505
CN2 8950, LN2 9604, HN2 1510
CN3 8965, LN3 9619, HN3 1525
CN4 8970, LN4 9624, HN4 1530

CN0 5789, LN0 6433, HN0 8349
CN1 5794, LN1 6448, HN1 8354
CN2 5709, LN2 6453, HN2 8369
CN3 5714, LN3 6468, HN3 8374
CN4 5729, LN4 6473, HN4 8389

CN0 4370, LN0 5024, HN0 7930
CN1 4385, LN1 5039, HN1 7945
CN2 4390, LN2 5044, HN2 7950
CN3 4305, LN3 5059, HN3 7965
CN4 4310, LN4 5064, HN4 7970

CN0 9721, LN0 0475, HN0 2381
CN1 9736, LN1 0480, HN1 2396
CN2 9741, LN2 0495, HN2 2301
CN3 9756, LN3 0400, HN3 2316
CN4 9761, LN4 0415, HN4 2321

CN0 4270, LN0 5924, HN0 7830
CN1 4285, LN1 5939, HN1 7845
CN2 4290, LN2 5944, HN2 7850
CN3 4205, LN3 5959, HN3 7865
CN4 4210, LN4 5964, HN4 7870

CN0 5163, LN0 6817, HN0 8723
CN1 5178, LN1 6822, HN1 8738
CN2 5183, LN2 6837, HN2 8743
CN3 5198, LN3 6842, HN3 8758
CN4 5103, LN4 6857, HN4 8763

CN0 4685, LN0 5339, HN0 7245
CN1 4690, LN1 5344, HN1 7250
CN2 4605, LN2 5359, HN2 7265
CN3 4610, LN3 5364, HN3 7270
CN4 4625, LN4 5379, HN4 7285

CN0 8501, LN0 9255, HN0 1161
CN1 8516, LN1 9260, HN1 1176
CN2 8521, LN2 9275, HN2 1181
CN3 8536, LN3 9280, HN3 1196
CN4 8541, LN4 9295, HN4 1101

CN0 8507, LN0 9251, HN0 1167
CN1 8512, LN1 9266, HN1 1172
CN2 8527, LN2 9271, HN2 1187
CN3 8532, LN3 9286, HN3 1192
CN4 8547, LN4 9291, HN4 1107

CN0 0938, LN0 1682, HN0 3598
CN1 0943, LN1 1697, HN1 3503
CN2 0958, LN2 1602, HN2 3518
CN3 0963, LN3 1617, HN3 3523
CN4 0978, LN4 1622, HN4 3538

CN0 8921, LN0 9675, HN0 1581
CN1 8936, LN1 9680, HN1 1596
CN2 8941, LN2 9695, HN2 1501
CN3 8956, LN3 9600, HN3 1516
CN4 8961, LN4 9615, HN4 1521

CN0 3269, LN0 4913, HN0 6829
CN1 3274, LN1 4928, HN1 6834
CN2 3289, LN2 4933, HN2 6849
CN3 3294, LN3 4948, HN3 6854
CN4 3209, LN4 4953, HN4 6869

CN0 2038, LN0 3782, HN0 5698
CN1 2043, LN1 3797, HN1 5603
CN2 2058, LN2 3702, HN2 5618
CN3 2063, LN3 3717, HN3 5623
CN4 2078, LN4 3722, HN4 5638

CN0 5369, LN0 6013, HN0 8929
CN1 5374, LN1 6028, HN1 8934
CN2 5389, LN2 6033, HN2 8949
CN3 5394, LN3 6048, HN3 8954
CN4 5309, LN4 6053, HN4 8969

CN0 4785, LN0 5439, HN0 7345
CN1 4790, LN1 5444, HN1 7350
CN2 4705, LN2 5459, HN2 7365
CN3 4710, LN3 5464, HN3 7370
CN4 4725, LN4 5479, HN4 7385

CN0 4781, LN0 5435, HN0 7341
CN1 4796, LN1 5440, HN1 7356
CN2 4701, LN2 5455, HN2 7361
CN3 4716, LN3 5460, HN3 7376
CN4 4721, LN4 5475, HN4 7381

CN0 0132, LN0 1886, HN0 3792
CN1 0147, LN1 1891, HN1 3707
CN2 0152, LN2 1806, HN2 3712
CN3 0167, LN3 1811, HN3 3727
CN4 0172, LN4 1826, HN4 3732

CN0 5278, LN0 6922, HN0 8838
CN1 5283, LN1 6937, HN1 8843
CN2 5298, LN2 6942, HN2 8858
CN3 5203, LN3 6957, HN3 8863
CN4 5218, LN4 6962, HN4 8878

CN0 8690, LN0 9344, HN0 1250
CN1 8605, LN1 9359, HN1 1265
CN2 8610, LN2 9364, HN2 1270
CN3 8625, LN3 9379, HN3 1285
CN4 8630, LN4 9384, HN4 1290

CN0 5278, LN0 6922, HN0 8838
CN1 5283, LN1 6937, HN1 8843
CN2 5298, LN2 6942, HN2 8858
CN3 5203, LN3 6957, HN3 8863
CN4 5218, LN4 6962, HN4 8878

CN0 9612, LN0 0366, HN0 2272
CN1 9627, LN1 0371, HN1 2287
CN2 9632, LN2 0386, HN2 2292
CN3 9647, LN3 0391, HN3 2207
CN4 9652, LN4 0306, HN4 2212

CN0 8916, LN0 9660, HN0 1576
CN1 8921, LN1 9675, HN1 1581
CN2 8936, LN2 9680, HN2 1596
CN3 8941, LN3 9695, HN3 1501
CN4 8956, LN4 9600, HN4 1516

CN0 3567, LN0 4211, HN0 6127
CN1 3572, LN1 4226, HN1 6132
CN2 3587, LN2 4231, HN2 6147
CN3 3592, LN3 4246, HN3 6152
CN4 3507, LN4 4251, HN4 6167

CN0 3169, LN0 4813, HN0 6729
CN1 3174, LN1 4828, HN1 6734
CN2 3189, LN2 4833, HN2 6749
CN3 3194, LN3 4848, HN3 6754
CN4 3109, LN4 4853, HN4 6769

CN0 3670, LN0 4324, HN0 6230
CN1 3685, LN1 4339, HN1 6245
CN2 3690, LN2 4344, HN2 6250
CN3 3605, LN3 4359, HN3 6265
CN4 3610, LN4 4364, HN4 6270

